,cod,valor,periodo
209,21,467,1996-01-15
210,17,116,1996-01-15
211,16,88,1996-01-15
212,15,623,1996-01-15
213,13,326,1996-01-15
214,12,68,1996-01-15
215,11,297,1996-01-15
216,11,285,1997-01-15
217,12,84,1997-01-15
218,13,345,1997-01-15
219,14,116,1997-01-15
220,15,758,1997-01-15
221,16,91,1997-01-15
222,17,166,1997-01-15
223,21,464,1997-01-15
224,22,226,1997-01-15
225,23,1210,1997-01-15
226,24,381,1997-01-15
227,25,312,1997-01-15
228,26,1628,1997-01-15
229,27,678,1997-01-15
230,28,231,1997-01-15
231,29,1325,1997-01-15
232,31,3389,1997-01-15
233,32,774,1997-01-15
234,33,3569,1997-01-15
235,35,9373,1997-01-15
236,41,3059,1997-01-15
237,42,1904,1997-01-15
238,43,2296,1997-01-15
239,50,568,1997-01-15
240,51,591,1997-01-15
241,52,1364,1997-01-15
242,53,569,1997-01-15
243,15,793,1998-01-15
244,13,313,1998-01-15
245,12,78,1998-01-15
246,11,325,1998-01-15
247,16,89,1998-01-15
248,17,204,1998-01-15
249,21,439,1998-01-15
250,22,284,1998-01-15
251,23,1061,1998-01-15
252,24,473,1998-01-15
253,25,428,1998-01-15
254,26,1561,1998-01-15
255,27,648,1998-01-15
256,28,188,1998-01-15
257,29,1032,1998-01-15
258,31,2990,1998-01-15
259,32,819,1998-01-15
260,33,2919,1998-01-15
261,35,7567,1998-01-15
262,41,2695,1998-01-15
263,42,1428,1998-01-15
264,43,1867,1998-01-15
265,50,383,1998-01-15
266,51,588,1998-01-15
267,52,1216,1998-01-15
268,53,511,1998-01-15
269,14,127,1998-01-15
270,12,71,1999-01-15
271,13,286,1999-01-15
272,27,586,1999-01-15
273,14,148,1999-01-15
274,15,576,1999-01-15
275,16,79,1999-01-15
276,17,216,1999-01-15
277,21,416,1999-01-15
278,22,273,1999-01-15
279,23,1152,1999-01-15
280,24,394,1999-01-15
281,25,425,1999-01-15
282,26,1477,1999-01-15
283,53,528,1999-01-15
284,52,1248,1999-01-15
285,51,620,1999-01-15
286,50,440,1999-01-15
287,43,1871,1999-01-15
288,42,1528,1999-01-15
289,41,2635,1999-01-15
290,35,7551,1999-01-15
291,33,2406,1999-01-15
292,32,785,1999-01-15
293,31,2723,1999-01-15
294,29,1061,1999-01-15
295,28,303,1999-01-15
296,11,320,1999-01-15
297,27,549,2000-01-15
298,26,1490,2000-01-15
299,25,442,2000-01-15
300,24,479,2000-01-15
301,23,1266,2000-01-15
302,22,400,2000-01-15
303,21,484,2000-01-15
304,17,296,2000-01-15
305,16,99,2000-01-15
306,15,707,2000-01-15
307,14,134,2000-01-15
308,13,347,2000-01-15
309,12,92,2000-01-15
310,11,328,2000-01-15
311,53,523,2000-01-15
312,52,1405,2000-01-15
313,51,718,2000-01-15
314,50,415,2000-01-15
